Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
gesicht3,2,4,36,10,,,,,407.6820844000031,,,,,,,,,,406.1184532000043,406.13190449998365,"[-300, -300]",[],[],[],[],[],[],[],[],406.1322660000005,406.13676409999607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gesicht4,2,5,37,11,,,,,407.6820844000031,,,,,,,,,,406.137009099999,406.1482160000014,"[300, 300]",[],[],[],[],[],[],[],[],406.1485804999829,406.1533160999825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
flugzeug1,2,6,38,13,,,,,407.6820844000031,,,,,,,,,,406.1534934999945,406.16594330000225,"[0, -300]",[],[],[],[],[],[],[],[],406.1663058999984,406.17226500000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
spinne2,2,7,39,1,,,,,407.6820844000031,,,,,,,,,,406.17247150000185,406.3712836999912,"[-300, 300]",[],[],[],[],[],[],[],[],406.371814299986,406.38025300001027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
schlange2,2,8,40,3,,,,,407.6820844000031,,,,,,,,,,406.3806694000086,406.39939390000654,"[300, 0]",[],[],[],[],[],[],[],[],406.3999171000032,406.40859649999766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
zug1,2,9,41,15,,,,,407.6820844000031,,,,,,,,,,406.40887489999295,406.4263943999831,"[300, 300]",[],[],[],[],[],[],[],[],406.42701399998623,406.43461949998164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
spinne1,2,10,42,0,,,,,407.6820844000031,,,,,,,,,,406.43483650000417,406.45291789999465,"[300, -300]",[],[],[],[],[],[],[],[],406.4536447999999,406.46171360000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gruppe2,2,11,43,7,,,,,407.6820844000031,,,,,,,,,,406.46197720000055,406.4784335999866,"[300, 0]",[],[],[],[],[],[],[],[],406.47898200000054,406.4873624999891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
schlange1,2,12,44,2,,,,,407.6820844000031,,,,,,,,,,406.4876663000032,406.5047408999817,"[-300, 300]",[],[],[],[],[],[],[],[],406.5052357999957,406.5118497000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gesicht2,2,13,45,9,,,,,407.6820844000031,,,,,,,,,,406.5121993999928,406.5249973000027,"[300, -300]",[],[],[],[],[],[],[],[],406.5253919000097,406.5302911000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
